circuit name,GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
SMC,21271000.0,97.8817,0.00100255,-10.326681866268313,2025-0521-122416,"[1, 1, 1]","[2.78165510e-04 1.75103067e-06 1.03519056e-04 1.96481499e-06
 7.58857397e-06 9.24123902e-07 7.50678343e-04 5.30199051e-07
 2.24300423e-05 7.12341400e-07 1.73514430e-12]",./circuit_database/SMC/result_folder/2025-0521-122416
SMC,13759600.0,97.8717,0.000972069,-10.150908715497776,2025-0521-122416,"[1, 1, 1]","[2.74655554e-04 1.75595785e-06 1.00072249e-04 1.97566450e-06
 4.72187388e-06 9.46209941e-07 7.43849734e-04 5.24189325e-07
 1.70897269e-05 7.12672811e-07 1.71386206e-12]",./circuit_database/SMC/result_folder/2025-0521-122416
SMC,17283000.0,97.8982,0.000984555,-10.244379147888186,2025-0521-122416,"[1, 1, 1]","[2.76168126e-04 1.75674499e-06 9.96112916e-05 1.98119122e-06
 6.04633311e-06 9.26342769e-07 7.48916647e-04 5.29325006e-07
 2.07885596e-05 7.15272809e-07 1.73274669e-12]",./circuit_database/SMC/result_folder/2025-0521-122416
SMC,36807800.0,89.8044,0.00532564,-9.839568054597438,2025-0521-122618,"[1, 1, 1]","[9.79062664e-04 1.00167583e-06 4.95546341e-04 1.16268037e-06
 8.82894822e-06 6.22484572e-07 9.37706177e-04 5.14852434e-07
 9.91435751e-04 1.77769872e-06 1.67688517e-12]",./circuit_database/SMC/result_folder/2025-0521-122618
SMC,41325600.0,86.7919,0.0057354,-9.857655455753191,2025-0521-122627,"[1, 1, 1]","[8.73867421e-04 7.81333160e-07 3.73412871e-04 1.54732743e-06
 2.60948282e-05 1.63191965e-06 5.76224461e-04 5.58748133e-07
 8.02631639e-04 1.91187003e-06 2.12113428e-12]",./circuit_database/SMC/result_folder/2025-0521-122627
SMC,37255500.0,88.2119,0.0052917,-9.847595181419246,2025-0521-122727,"[1, 1, 1]","[8.80860027e-04 8.83549642e-07 3.80868092e-04 1.47202873e-06
 2.74458009e-05 1.82122026e-06 6.39599880e-04 5.40862535e-07
 8.10523608e-04 1.85549676e-06 2.25941354e-12]",./circuit_database/SMC/result_folder/2025-0521-122727
SMC,41188300.0,87.1411,0.00550543,-9.873982622242021,2025-0521-122736,"[1, 1, 1]","[8.87460890e-04 8.45456684e-07 3.83162951e-04 1.59743389e-06
 2.78254253e-05 1.73810946e-06 5.16097152e-04 5.21340222e-07
 8.14321090e-04 1.95530799e-06 2.17634475e-12]",./circuit_database/SMC/result_folder/2025-0521-122736
SMC,43241200.0,86.0069,0.00635161,-9.833013913895462,2025-0521-122736,"[1, 1, 1]","[8.87390951e-04 6.90931848e-07 3.45806427e-04 1.38342823e-06
 2.59408010e-05 1.50193890e-06 5.94832566e-04 5.01154611e-07
 8.52777639e-04 1.88698833e-06 2.12813842e-12]",./circuit_database/SMC/result_folder/2025-0521-122736
SMC,36713000.0,88.0592,0.00507885,-9.859054487836161,2025-0521-122736,"[1, 1, 1]","[8.66500726e-04 9.13201289e-07 3.20425279e-04 1.46350099e-06
 2.48399530e-05 1.66478283e-06 5.53284298e-04 5.07820637e-07
 8.04170276e-04 1.96338417e-06 2.22707107e-12]",./circuit_database/SMC/result_folder/2025-0521-122736
SMC,45114100.0,85.8034,0.00600398,-9.875873060983308,2025-0521-122736,"[1, 1, 1]","[8.69099438e-04 7.27439156e-07 3.51131410e-04 1.40712551e-06
 2.65694830e-05 1.54365169e-06 5.22533894e-04 5.15860813e-07
 8.03251294e-04 1.97039541e-06 2.04138958e-12]",./circuit_database/SMC/result_folder/2025-0521-122736
SMC,53007300.0,85.2511,0.00625542,-9.928079209090214,2025-0521-122836,"[1, 1, 1]","[8.99272999e-04 7.22085528e-07 3.27019551e-04 1.30656983e-06
 2.87287746e-05 1.41958622e-06 4.99280187e-04 5.04922842e-07
 7.49683294e-04 1.99669311e-06 1.99825703e-12]",./circuit_database/SMC/result_folder/2025-0521-122836
SMC,51002900.0,85.4666,0.00621638,-9.914057316056933,2025-0521-122845,"[1, 1, 1]","[8.99808175e-04 7.28662512e-07 3.21499062e-04 1.32390210e-06
 2.70772506e-05 1.40549321e-06 5.07975406e-04 5.01744350e-07
 7.49970737e-04 1.99824601e-06 1.96642135e-12]",./circuit_database/SMC/result_folder/2025-0521-122845
